sessionID,stationID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,session_duration_h,charging_duration_h,idle_time_h,power_kW,hour_of_day,day_of_week,is_weekend,is_peak,period,revenue_baseline_inr,revenue_per_hour,hourly_sessions,daily_sessions,dynamic_price,pricing_signal,tariff_mult
2_39_78_362_2018-04-25 11:08:04.400812,2-39-78-362,2018-04-25 11:08:04+00:00,2018-04-25 13:20:10+00:00,2018-04-25 13:21:10+00:00,7.932,2.2016666666666667,2.2183333333333333,0.0,3.575657400450789,11,2,0,0,Morning,118.98,54.04087812263437,1,4,19.8725136129744,BASELINE,1.32483424086496
2_39_95_27_2018-04-25 13:45:09.617470,2-39-95-27,2018-04-25 13:45:10+00:00,2018-04-26 00:56:16+00:00,2018-04-25 16:44:15+00:00,10.013,11.185,2.984722222222222,8.200277777777778,3.354751046998604,13,2,0,0,Afternoon,150.195,13.428252123379526,2,1,15.430542870550902,BASELINE,1.0287028580367268
2_39_79_380_2018-04-25 13:45:49.962001,2-39-79-380,2018-04-25 13:45:50+00:00,2018-04-25 23:04:45+00:00,2018-04-25 14:51:44+00:00,5.257,9.315277777777778,1.0983333333333334,8.216944444444445,4.786342943854324,13,2,0,0,Afternoon,78.85499999999999,8.465125987773966,2,1,15.430542870550902,BASELINE,1.0287028580367268
2_39_79_379_2018-04-25 14:37:06.460772,2-39-79-379,2018-04-25 14:37:06+00:00,2018-04-25 23:55:34+00:00,2018-04-25 16:05:22+00:00,5.177,9.307777777777778,1.471111111111111,7.836666666666667,3.519108761329305,14,2,0,1,Afternoon,77.655,8.343022561776293,5,1,17.41823284299038,BASELINE,1.1612155228660255
2_39_79_381_2018-04-25 14:40:33.638896,2-39-79-381,2018-04-25 14:40:34+00:00,2018-04-25 23:03:12+00:00,2018-04-25 17:40:30+00:00,10.119,8.377222222222223,2.9988888888888887,5.378333333333334,3.3742497221193037,14,2,0,1,Afternoon,151.785,18.118774454539423,5,1,17.41823284299038,BASELINE,1.1612155228660255
2_39_139_28_2018-04-25 14:43:49.647430,2-39-139-28,2018-04-25 14:43:50+00:00,2018-04-26 01:17:30+00:00,2018-04-25 16:18:28+00:00,7.91,10.561111111111112,1.5772222222222223,8.98388888888889,5.015146178231771,14,2,0,1,Afternoon,118.65,11.234613361388742,5,1,17.41823284299038,BASELINE,1.1612155228660255
2_39_91_441_2018-04-25 14:47:41.776352,2-39-91-441,2018-04-25 14:47:42+00:00,2018-04-25 18:27:51+00:00,2018-04-25 18:27:42+00:00,15.294,3.6691666666666665,3.6666666666666665,0.0024999999999999467,4.17109090909091,14,2,0,1,Afternoon,229.41,62.523733817851465,5,2,17.41823284299038,BASELINE,1.1612155228660255
2_39_79_377_2018-04-25 14:58:25.255583,2-39-79-377,2018-04-25 14:58:25+00:00,2018-04-25 19:06:29+00:00,2018-04-25 16:48:29+00:00,6.953,4.134444444444444,1.8344444444444445,2.3,3.7902483343428224,14,2,0,1,Afternoon,104.295,25.22588013974738,5,2,17.41823284299038,BASELINE,1.1612155228660255
2_39_79_382_2018-04-25 15:10:51.871020,2-39-79-382,2018-04-25 15:10:52+00:00,2018-04-25 18:15:46+00:00,2018-04-25 16:07:56+00:00,2.174,3.0816666666666666,0.9511111111111111,2.1305555555555555,2.2857476635514016,15,2,0,1,Afternoon,32.61,10.581936181719849,15,2,14.62841567819073,BASELINE,0.9752277118793821
2_39_78_362_2018-04-25 15:12:10.901351,2-39-78-362,2018-04-25 15:12:11+00:00,2018-04-25 18:29:21+00:00,2018-04-25 18:30:20+00:00,2.439,3.286111111111111,3.3025,0.0,0.7385314155942467,15,2,0,1,Afternoon,36.585,11.133220625528319,15,4,14.62841567819073,BASELINE,0.9752277118793821
