hour,util_proxy,tariff_mult,dynamic_inr,baseline_inr,pricing_signal,demand_response,rev_impact_pct
0,0.379,1.069,16.04,15.0,BASELINE,0.979,4.7
1,0.306,0.959,14.39,15.0,BASELINE,1.012,-2.92
2,0.369,1.053,15.8,15.0,BASELINE,0.984,3.64
3,0.376,1.064,15.96,15.0,BASELINE,0.981,4.36
4,0.385,1.078,16.17,15.0,BASELINE,0.977,5.26
5,0.393,1.089,16.33,15.0,BASELINE,0.973,5.98
6,0.458,1.187,17.81,15.0,BASELINE,0.944,12.05
7,0.278,0.75,11.25,15.0,DISCOUNT,1.075,-19.38
8,0.737,1.605,24.08,15.0,BASELINE,0.818,31.38
9,1.0,2.0,30.0,15.0,SURGE,0.7,40.0
10,0.0,0.5,7.5,15.0,DISCOUNT,1.15,-42.5
11,0.55,1.325,19.87,15.0,BASELINE,0.903,19.57
12,0.352,1.028,15.43,15.0,BASELINE,0.991,1.96
13,0.352,1.029,15.43,15.0,BASELINE,0.991,1.98
14,0.441,1.161,17.42,15.0,BASELINE,0.952,10.51
15,0.317,0.975,14.63,15.0,BASELINE,1.007,-1.75
16,0.287,0.75,11.25,15.0,DISCOUNT,1.075,-19.38
17,0.349,1.024,15.35,15.0,BASELINE,0.993,1.64
18,0.243,0.75,11.25,15.0,DISCOUNT,1.075,-19.38
19,0.136,0.703,10.55,15.0,DISCOUNT,1.089,-23.4
20,0.048,0.573,8.59,15.0,DISCOUNT,1.128,-35.4
21,0.085,0.627,9.4,15.0,DISCOUNT,1.112,-30.29
22,0.104,0.656,9.85,15.0,DISCOUNT,1.103,-27.59
23,0.171,0.75,11.25,15.0,DISCOUNT,1.075,-19.38
