grid_id,avg_utilization,avg_price,avg_volume,pile_count,fast_count,slow_count,area_km2,is_CBD,has_dynamic,status
102,0.5529,1.0236,5.336,30,3,27,0.71,0,0,Normal
105,0.1491,1.1242,6.6562,93,0,93,0.77,0,0,Underutilized
107,0.2071,0.9264,7.2289,88,2,86,0.89,0,0,Underutilized
108,0.3524,0.99,7.3735,39,0,39,1.26,0,0,Normal
109,0.1596,1.004,3.6009,39,0,39,3.15,0,0,Underutilized
110,0.1052,1.015,4.3521,86,12,74,2.13,0,0,Underutilized
111,0.2068,1.1205,5.5483,85,0,85,1.76,0,0,Underutilized
115,0.0618,1.15,0.6478,23,0,23,0.72,0,0,Underutilized
123,0.1138,0.5433,1.8518,28,0,28,3.69,0,0,Underutilized
124,0.1183,1.02,3.7812,56,0,56,26.92,0,0,Underutilized
202,0.1812,1.0756,4.5035,57,0,57,2.04,1,0,Underutilized
204,0.1216,1.0113,3.9892,57,0,57,1.11,1,0,Underutilized
205,0.0831,1.17,2.5512,59,0,59,0.89,1,0,Underutilized
206,0.2005,1.0907,9.2975,115,0,115,0.65,1,1,Underutilized
208,0.4124,1.35,3.1209,13,0,13,1.15,0,0,Normal
215,0.0865,1.0,2.1928,52,0,52,1.71,1,0,Underutilized
216,0.3364,0.8633,4.2684,24,0,24,1.86,1,0,Normal
217,0.2782,0.989,19.9345,129,0,129,1.44,1,0,Underutilized
223,0.2742,1.1125,21.2622,159,4,155,2.41,1,1,Underutilized
224,0.1696,1.0577,10.8601,141,0,141,1.82,1,0,Underutilized
225,0.1749,1.09,2.0336,20,0,20,1.57,1,0,Underutilized
226,0.2833,0.9996,9.0447,71,9,62,1.2,1,0,Underutilized
227,0.3809,0.905,17.7208,95,5,90,1.64,1,0,Normal
235,0.3409,0.775,5.8735,43,0,43,10.82,0,0,Normal
307,0.2861,1.0253,21.4483,160,0,160,3.2,0,0,Underutilized
309,0.1558,0.9311,4.717,119,0,119,7.63,0,0,Underutilized
320,0.1488,0.985,1.1764,25,0,25,3.28,1,0,Underutilized
322,0.3603,0.8451,104.0768,66,18,48,1.23,1,1,Normal
323,0.2986,1.2,7.0888,41,0,41,1.91,1,0,Underutilized
324,0.2902,1.0611,18.7659,163,0,163,1.76,1,1,Underutilized
325,0.3577,1.0498,13.5156,59,4,55,0.99,1,1,Normal
326,0.3339,1.0351,7.2831,145,0,145,1.95,1,0,Normal
328,0.3414,0.9422,15.4783,95,0,95,2.81,1,0,Normal
329,0.2635,0.9105,36.7945,267,6,261,3.33,1,0,Underutilized
330,0.2991,0.96,6.0693,35,2,33,2.91,1,0,Underutilized
331,0.4339,0.7,9.1028,36,0,36,2.84,1,0,Normal
332,0.3228,0.9113,32.9967,230,0,230,3.53,1,1,Normal
333,0.4323,0.9219,293.8369,88,57,31,2.4,1,1,Normal
335,0.3324,1.0611,46.7145,271,14,257,18.32,0,1,Normal
340,0.3398,1.2752,0.2901,23,0,23,1.5,0,0,Normal
343,0.2326,0.76,3.0803,28,0,28,2.49,0,0,Underutilized
346,0.4181,0.8313,184.8829,110,60,50,35.44,0,0,Normal
347,0.2358,0.99,2.3533,29,0,29,2.44,1,0,Underutilized
348,0.2758,0.6787,54.8997,86,11,75,15.4,1,0,Underutilized
406,0.17,1.0,1.1058,14,0,14,6.4,0,0,Underutilized
408,0.127,1.1,3.9339,57,0,57,4.38,0,0,Underutilized
501,0.4811,0.928,10.4654,47,0,47,2.83,1,0,Normal
502,0.2523,1.053,12.5131,100,24,76,2.54,1,0,Underutilized
506,0.2788,0.961,20.5941,186,17,169,3.29,0,0,Underutilized
512,0.4518,1.0607,84.4137,115,30,85,2.38,0,0,Normal
513,0.3549,0.815,45.2784,223,0,223,7.29,0,0,Normal
519,0.4022,1.0132,71.7751,199,48,151,4.6,0,0,Normal
520,0.2806,0.8533,26.4565,132,20,112,3.11,0,0,Underutilized
522,0.5416,0.9266,25.8856,110,10,100,1.95,0,1,Normal
525,0.2725,0.9982,11.9284,102,0,102,1.72,1,0,Underutilized
526,0.2823,1.181,32.7334,276,10,266,3.17,0,0,Underutilized
527,0.2735,1.1859,18.2728,140,18,122,2.1,0,0,Underutilized
529,0.2864,0.72,8.0138,48,0,48,0.98,0,0,Underutilized
552,0.3154,0.8778,7.941,46,0,46,3.22,0,0,Normal
570,0.6398,0.8,7.7907,21,0,21,3.38,0,0,Normal
576,0.4031,0.8403,366.6228,146,94,52,2.68,0,1,Normal
577,0.1728,1.2,2.9201,24,6,18,1.99,0,0,Underutilized
580,0.2077,0.7906,89.8346,50,30,20,3.85,0,0,Underutilized
584,0.2264,1.075,7.2437,55,0,55,2.58,0,0,Underutilized
585,0.2066,0.8,1.2749,12,0,12,3.44,0,0,Underutilized
587,0.2245,1.1467,20.4176,133,4,129,2.88,0,0,Underutilized
588,0.361,0.8074,27.2952,134,2,132,2.73,0,0,Normal
589,0.2388,0.9631,34.5991,80,16,64,3.55,0,1,Underutilized
594,0.1699,0.9974,3.171,38,0,38,2.04,0,1,Underutilized
595,0.4537,0.7221,736.9589,137,137,0,3.38,0,1,Normal
596,0.4785,0.8967,13.1757,74,5,69,2.96,0,1,Normal
598,0.296,1.28,2.0656,12,0,12,2.11,0,0,Underutilized
627,0.2904,0.7578,26.4138,20,20,0,2.88,0,1,Underutilized
628,0.2914,0.7498,21.6521,6,6,0,12.58,0,1,Underutilized
630,0.2119,0.7124,5.9227,6,6,0,4.08,0,1,Underutilized
631,0.0899,1.0733,5.3902,34,6,28,3.52,0,1,Underutilized
632,0.2849,0.9333,4.0829,30,0,30,5.14,0,0,Underutilized
633,0.5414,0.7071,441.4808,135,85,50,4.89,0,1,Normal
636,0.2402,0.7956,21.3031,12,12,0,5.29,0,1,Underutilized
638,0.1782,1.0,1.2443,12,0,12,7.02,0,0,Underutilized
643,0.1517,1.0827,5.0218,31,4,27,2.4,0,1,Underutilized
644,0.213,0.9067,5.099,48,0,48,6.38,0,0,Underutilized
655,0.1631,1.2,2.2761,24,0,24,2.08,0,0,Underutilized
656,0.1633,1.2,4.7542,50,0,50,2.18,0,0,Underutilized
681,0.2182,0.72,1.1222,18,0,18,19.58,0,0,Underutilized
682,0.3072,0.9789,136.0118,50,38,12,3.0,0,1,Normal
686,0.0865,1.0143,4.0071,89,0,89,4.08,0,0,Underutilized
690,0.351,0.9789,226.7626,70,58,12,2.23,0,1,Normal
691,0.5119,0.72,10.4349,35,0,35,2.44,0,0,Normal
693,0.2565,0.8048,38.8966,75,27,48,2.07,0,1,Underutilized
698,0.4526,0.8,1.7588,9,0,9,1.75,0,0,Normal
699,0.2881,0.8806,69.3065,86,34,52,4.85,0,1,Underutilized
700,0.2754,1.0192,10.8377,99,0,99,3.99,0,0,Underutilized
701,0.1803,1.25,1.2564,12,0,12,1.94,0,0,Underutilized
702,0.3329,0.7,0.5821,3,0,3,2.51,0,0,Normal
703,0.3155,0.9536,32.2545,313,0,313,2.38,0,0,Normal
704,0.3499,0.9563,23.1988,141,12,129,2.66,0,0,Normal
705,0.2416,1.0286,7.0403,57,1,56,1.81,0,0,Underutilized
706,0.2917,1.0043,3.0124,30,0,30,1.62,0,0,Underutilized
708,0.3531,0.9237,136.8555,31,20,11,2.31,0,1,Normal
709,0.2953,0.9729,6.6883,56,0,56,1.78,0,0,Underutilized
710,0.2022,1.0171,7.7183,83,0,83,2.29,0,0,Underutilized
711,0.0804,0.72,1.5865,34,0,34,1.28,0,0,Underutilized
712,0.5757,1.0466,19.5546,90,46,44,1.69,0,1,Normal
715,0.7346,0.8325,37.9551,13,5,8,8.38,0,0,Normal
716,0.3625,0.7945,52.4629,147,6,141,3.95,0,1,Normal
719,0.5797,0.72,2.0264,6,0,6,0.8,0,0,Normal
